lag,raw,whitened
522,6952489.000000,-0.000070
523,7171927.000000,0.000311
524,7380662.000000,-0.000088
525,7578743.500000,0.000277
526,7766433.000000,0.000039
527,7944456.000000,0.000128
528,8113469.000000,0.000678
529,8274329.000000,0.000625
530,8427666.000000,0.000380
531,8572859.000000,0.000532
532,8708912.000000,0.000178
533,8835263.000000,0.000552
534,8952568.000000,0.000046
535,9061578.000000,-0.000155
536,9163481.000000,0.000712
537,9259870.000000,0.000093
538,9353366.000000,0.000016
539,9445608.000000,-0.000099
540,9536898.000000,0.000472
541,9626496.000000,0.000444
542,9714092.000000,0.000525
543,9799218.000000,0.000308
544,9880288.000000,-0.000172
545,9955566.000000,-0.000063
546,10023638.000000,0.000113
547,10085669.000000,-0.000168
548,10144904.000000,-0.000147
549,10203293.000000,0.000052
550,10261405.000000,0.000556
551,10320105.000000,0.000195
552,10380422.000000,0.000368
553,10442919.000000,0.000362
554,10506906.000000,-0.000025
555,10571675.000000,0.000097
556,10636004.000000,-0.000129
557,10697740.000000,-0.000123
558,10755118.000000,0.000243
559,10807523.000000,0.000242
560,10855632.000000,0.000020
561,10901000.000000,0.000447
562,10944746.000000,-0.000033
563,10986491.000000,-0.000074
564,11025574.000000,-0.000230
565,11061336.000000,-0.000104
566,11093358.000000,-0.000162
567,11121552.000000,-0.000163
568,11145790.000000,0.000011
569,11165805.000000,0.000126
570,11182516.000000,-0.000070
571,11197614.000000,-0.000196
572,11213148.000000,0.000151
573,11230396.000000,0.000504
574,11248924.000000,0.000160
575,11267618.000000,0.000060
576,11285584.000000,-0.000218
577,11302546.000000,-0.000045
578,11319011.000000,-0.000039
579,11336116.000000,0.000003
580,11354030.000000,0.000075
581,11371790.000000,-0.000122
582,11388596.000000,-0.000138
583,11403310.000000,0.000033
584,11414212.000000,0.000043
585,11420191.000000,0.000006
586,11421458.000000,0.000136
587,11418734.000000,-0.000119
588,11412350.000000,0.000131
589,11402718.000000,0.000072
590,11390609.000000,0.000316
591,11376280.000000,0.000307
592,11359519.000000,0.000532
593,11339937.000000,-0.000077
594,11317974.000000,-0.000155
595,11294207.000000,-0.000159
596,11269374.000000,-0.000051
597,11244076.000000,-0.000104
598,11218976.000000,-0.000036
599,11193882.000000,0.000071
600,11167912.000000,0.000121
601,11140673.000000,0.000080
602,11112125.000000,-0.000107
603,11081860.000000,-0.000036
604,11048876.000000,0.000340
605,11012252.000000,0.000203
606,10971527.000000,0.000084
607,10926811.000000,0.000165
608,10879332.000000,0.000100
609,10830324.000000,0.000226
610,10780478.000000,0.000074
611,10729519.000000,-0.000105
612,10677026.000000,0.000017
613,10622552.000000,-0.000109
614,10565956.000000,-0.000022
615,10507541.000000,0.000025
616,10447604.000000,0.000121
617,10386398.000000,0.000068
618,10324223.000000,-0.000036
619,10261204.000000,-0.000046
620,10197292.000000,0.000014
621,10132230.000000,-0.000082
622,10065932.000000,-0.000122
623,9998616.000000,0.000022
624,9930441.000000,-0.000109
625,9861406.000000,-0.000060
626,9790701.000000,-0.000016
627,9717548.000000,0.000034
628,9641836.000000,-0.000046
629,9564010.000000,-0.000153
630,9484902.000000,-0.000014
631,9405028.000000,-0.000049
632,9325027.000000,-0.000048
633,9245604.000000,-0.000034
634,9167182.000000,-0.000043
635,9089990.000000,-0.000071
636,9013995.000000,0.000007
637,8938638.000000,-0.000024
638,8863425.000000,-0.000100
639,8788170.000000,-0.000078
640,8712906.000000,0.000058
641,8637696.000000,0.000053
642,8562808.000000,0.000163
643,8488218.000000,0.000179
644,8413732.000000,-0.000013
645,8339290.500000,-0.000055
646,8265050.500000,-0.000019
647,8190931.000000,-0.000026
648,8116797.000000,-0.000041
649,8042307.000000,-0.000011
650,7967002.000000,0.000012
651,7890575.500000,0.000015
652,7813276.000000,-0.000018
653,7735831.000000,-0.000095
654,7658858.000000,-0.000014
655,7582834.000000,-0.000021
656,7508258.500000,-0.000099
657,7435346.500000,-0.000044
658,7363983.000000,0.000087
659,7293579.000000,0.000082
660,7223485.500000,0.000011
661,7152899.000000,-0.000033
662,7081412.500000,-0.000074
663,7009098.000000,-0.000055
664,6936283.500000,-0.000013
665,6863494.500000,0.000048
666,6791319.000000,0.000012
667,6720032.000000,-0.000045
668,6649555.000000,-0.000042
669,6579625.000000,-0.000069
670,6509889.000000,-0.000032
671,6439953.000000,-0.000010
672,6369735.500000,-0.000067
673,6299427.000000,0.000010
674,6229091.000000,0.000129
675,6158753.000000,0.000057
676,6088513.000000,-0.000053
677,6018531.000000,0.000007
678,5948896.500000,0.000036
679,5879732.000000,0.000018
680,5811131.500000,0.000106
681,5742968.500000,0.000013
682,5675040.000000,-0.000011
683,5607259.500000,0.000002
684,5539651.000000,-0.000016
